name_rep	at_id
ABI3VP1_tnt.AT5G18090_col_a	AT5G18090
ABI3VP1_tnt.AT5G25475_col_a	AT5G25475
ABI3VP1_tnt.AT5G60130_col_a	AT5G60130
ABI3VP1_tnt.AT5G60130_colamp_a	AT5G60130
ABI3VP1_tnt.FUS3_col_a	AT3G26790
ABI3VP1_tnt.NGA4_col_a	AT4G01500
ABI3VP1_tnt.REM16_col_a	AT4G33280
ABI3VP1_tnt.VRN1_col_a	AT3G18990
ABI3VP1_tnt.VRN1_colamp_a	AT3G18990
AP2EREBP_tnt.ABR1_col_a	AT5G64750
AP2EREBP_tnt.ABR1_colamp_a	AT5G64750
AP2EREBP_tnt.AIL7_col_a	AT5G65510
AP2EREBP_tnt.AIL7_colamp_a	AT5G65510
AP2EREBP_tnt.AT1G01250_col_a	AT1G01250
AP2EREBP_tnt.AT1G01250_colamp_a	AT1G01250
AP2EREBP_tnt.AT1G12630_col_a	AT1G12630
AP2EREBP_tnt.AT1G12630_colamp_a	AT1G12630
AP2EREBP_tnt.AT1G28160_col_a	AT1G28160
AP2EREBP_tnt.AT1G28160_colamp_a	AT1G28160
AP2EREBP_tnt.AT1G44830_col_a	AT1G44830
AP2EREBP_tnt.AT1G71450_col_a	AT1G71450
AP2EREBP_tnt.AT1G71450_colamp_a	AT1G71450
AP2EREBP_tnt.AT1G77200_col_a	AT1G77200
AP2EREBP_tnt.AT1G77200_colamp_a	AT1G77200
AP2EREBP_tnt.AT3G16280_col_a	AT3G16280
AP2EREBP_tnt.AT3G16280_colamp_a	AT3G16280
AP2EREBP_tnt.AT3G57600_col_a	AT3G57600
AP2EREBP_tnt.AT3G60490_col_a	AT3G60490
AP2EREBP_tnt.AT3G60490_colamp_a	AT3G60490
AP2EREBP_tnt.AT4G18450_col_a	AT4G18450
AP2EREBP_tnt.At1g19210_col_a	AT1G19210
AP2EREBP_tnt.At1g19210_colamp_a	AT1G19210
AP2EREBP_tnt.At1g22810_col	AT1G22810
AP2EREBP_tnt.At1g22810_colamp_a	AT1G22810
AP2EREBP_tnt.At1g36060_col_a	AT1G36060
AP2EREBP_tnt.At1g36060_colamp_a	AT1G36060
AP2EREBP_tnt.At1g75490_col_a	AT1G75490
AP2EREBP_tnt.At1g75490_colamp_a	AT1G75490
AP2EREBP_tnt.At1g77640_col_a	AT1G77640
AP2EREBP_tnt.At2g33710_col	AT2G33710
AP2EREBP_tnt.At2g33710_colamp_a	AT2G33710
AP2EREBP_tnt.At2g44940_col_a	AT2G44940
AP2EREBP_tnt.At2g44940_colamp_a	AT2G44940
AP2EREBP_tnt.At4g16750_col_a	AT4G16750
AP2EREBP_tnt.At4g16750_colamp_a	AT4G16750
AP2EREBP_tnt.At4g28140_col_a	AT4G28140
AP2EREBP_tnt.At4g28140_colamp_a	AT4G28140
AP2EREBP_tnt.At4g31060_col_a	AT4G31060
AP2EREBP_tnt.At4g31060_colamp_a	AT4G31060
AP2EREBP_tnt.At4g32800_col	AT4G32800
AP2EREBP_tnt.At4g32800_colamp_a	AT4G32800
AP2EREBP_tnt.At5g18450_col_a	AT5G18450
AP2EREBP_tnt.At5g65130_col_a	AT5G65130
AP2EREBP_tnt.At5g65130_colamp_a	AT5G65130
AP2EREBP_tnt.At5g67000_col_a	AT5G67000
AP2EREBP_tnt.CBF1_col_a	AT4G25490
AP2EREBP_tnt.CBF1_colamp_a	AT4G25490
AP2EREBP_tnt.CBF2_col_a	AT4G25470
AP2EREBP_tnt.CBF2_colamp_a	AT4G25470
AP2EREBP_tnt.CBF3_col_a	AT4G25480
AP2EREBP_tnt.CBF3_colamp_a	AT4G25480
AP2EREBP_tnt.CBF4_col_a	AT5G51990
AP2EREBP_tnt.CBF4_colamp_a	AT5G51990
AP2EREBP_tnt.CEJ1_col_a	AT3G50260
AP2EREBP_tnt.CEJ1_colamp_a	AT3G50260
AP2EREBP_tnt.CRF10_col100_a	AT1G68550
AP2EREBP_tnt.CRF10_colamp_a	AT1G68550
AP2EREBP_tnt.CRF4_col_a	AT4G27950
AP2EREBP_tnt.CRF4_colamp_a	AT4G27950
AP2EREBP_tnt.DDF1_col_a	AT1G12610
AP2EREBP_tnt.DDF1_colamp_a	AT1G12610
AP2EREBP_tnt.DDF2_col_a	AT1G63030
AP2EREBP_tnt.DEAR2_col_a	AT5G67190
AP2EREBP_tnt.DEAR2_colamp_a	AT5G67190
AP2EREBP_tnt.DEAR3_col_a	AT2G23340
AP2EREBP_tnt.DEAR3_colamp_a	AT2G23340
AP2EREBP_tnt.DEAR5_col_a	AT4G06746
AP2EREBP_tnt.DEAR5_colamp_a	AT4G06746
AP2EREBP_tnt.DREB19_col_a	AT2G38340
AP2EREBP_tnt.DREB19_colamp_a	AT2G38340
AP2EREBP_tnt.DREB26_col_a	AT1G21910
AP2EREBP_tnt.DREB2_col_a	AT5G05410
AP2EREBP_tnt.DREB2_colamp_a	AT5G05410
AP2EREBP_tnt.ERF104_col_a	AT5G61600
AP2EREBP_tnt.ERF104_colamp_a	AT5G61600
AP2EREBP_tnt.ERF105_col	AT5G51190
AP2EREBP_tnt.ERF105_colamp_a	AT5G51190
AP2EREBP_tnt.ERF10_col_a	AT1G03800
AP2EREBP_tnt.ERF10_colamp_a	AT1G03800
AP2EREBP_tnt.ERF115_col_a	AT5G07310
AP2EREBP_tnt.ERF115_colamp_a	AT5G07310
AP2EREBP_tnt.ERF11_col_b	AT1G28370
AP2EREBP_tnt.ERF11_colamp_a	AT1G28370
AP2EREBP_tnt.ERF13_col_b	AT2G44840
AP2EREBP_tnt.ERF13_colamp_a	AT2G44840
AP2EREBP_tnt.ERF15_col	AT2G31230
AP2EREBP_tnt.ERF15_colamp_a	AT2G31230
AP2EREBP_tnt.ERF1_col_a	AT3G23240
AP2EREBP_tnt.ERF1_colamp_a	AT3G23240
AP2EREBP_tnt.ERF2_col_a	AT5G47220
AP2EREBP_tnt.ERF2_colamp_a	AT5G47220
AP2EREBP_tnt.ERF38_col_a	AT2G35700
AP2EREBP_tnt.ERF3_col_a	AT1G50640
AP2EREBP_tnt.ERF3_colamp_a	AT1G50640
AP2EREBP_tnt.ERF48_col_a	AT2G40340
AP2EREBP_tnt.ERF4_col_a	AT3G15210
AP2EREBP_tnt.ERF4_colamp_a	AT3G15210
AP2EREBP_tnt.ERF5_col_a	AT5G47230
AP2EREBP_tnt.ERF5_colamp_a	AT5G47230
AP2EREBP_tnt.ERF6_col	AT4G17490
AP2EREBP_tnt.ERF73_col_a	AT1G72360
AP2EREBP_tnt.ERF73_colamp_a	AT1G72360
AP2EREBP_tnt.ERF7_col_a	AT3G20310
AP2EREBP_tnt.ERF7_colamp_a	AT3G20310
AP2EREBP_tnt.ERF8_col_a	AT1G53170
AP2EREBP_tnt.ERF8_colamp_a	AT1G53170
AP2EREBP_tnt.ERF9_col_a	AT5G44210
AP2EREBP_tnt.ERF9_colamp_a	AT5G44210
AP2EREBP_tnt.ESE1_col_a	AT3G23220
AP2EREBP_tnt.ESE1_colamp_a	AT3G23220
AP2EREBP_tnt.ESE3_col_a	AT5G25190
AP2EREBP_tnt.ESE3_colamp_a	AT5G25190
AP2EREBP_tnt.LEP_col_a	AT5G13910
AP2EREBP_tnt.PLT1_col_a	AT3G20840
AP2EREBP_tnt.PLT1_colamp_a	AT3G20840
AP2EREBP_tnt.PLT3_col_a	AT5G10510
