"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
A,1,Sample X1,395388,394917.0,394917.0
A,2,Sample X6,126167,125696.0,125696.0
A,3,Sample X11,65018,64547.0,64547.0
A,4,Sample X16,95908,95437.0,95437.0
A,5,Sample X21,118778,118307.0,118307.0
A,6,Sample X26,71990,71519.0,71519.0
A,7,Sample X31,85210,84739.0,84739.0
A,8,Sample X36,114517,114046.0,114046.0
A,9,Sample X41,74949,74478.0,74478.0
B,1,Sample X2,188516,188045.0,188045.0
B,2,Sample X7,54718,54247.0,54247.0
B,3,Sample X12,11033,10562.0,10562.0
B,4,Sample X17,2028,1557.0,1557.0
B,5,Sample X22,200396,199925.0,199925.0
B,6,Sample X27,52735,52264.0,52264.0
B,7,Sample X32,14238,13767.0,13767.0
B,8,Sample X37,34946,34475.0,34475.0
B,9,Sample X42,24804,24333.0,24333.0
C,1,Sample X3,69068,68597.0,68597.0
C,2,Sample X8,23388,22917.0,22917.0
C,3,Sample X13,45195,44724.0,44724.0
C,4,Sample X18,1283,812.0,812.0
C,5,Sample X23,58179,57708.0,57708.0
C,6,Sample X28,28413,27942.0,27942.0
C,7,Sample X33,13123,12652.0,12652.0
C,8,Sample X38,19755,19284.0,19284.0
C,9,Sample X43,1445,974.0,974.0
D,1,Sample X4,28408,27937.0,27937.0
D,2,Sample X9,7128,6657.0,6657.0
D,3,Sample X14,13117,12646.0,12646.0
D,4,Sample X19,746,275.0,275.0
D,5,Sample X24,47298,46827.0,46827.0
D,6,Sample X29,1449,978.0,978.0
D,7,Sample X34,1867,1396.0,1396.0
D,8,Sample X39,1020,549.0,549.0
D,9,Sample X44,6213,5742.0,5742.0
E,1,Sample X5,192933,192462.0,192462.0
E,2,Sample X10,11376,10905.0,10905.0
E,3,Sample X15,33223,32752.0,32752.0
E,4,Sample X20,70283,69812.0,69812.0
E,5,Sample X25,1954,1483.0,1483.0
E,6,Sample X30,7061,6590.0,6590.0
E,7,Sample X35,1745,1274.0,1274.0
E,8,Sample X40,28718,28247.0,28247.0
E,9,Sample X45,6029,5558.0,5558.0
H,1,Blank B,462,,
H,2,Blank B,464,,
H,3,Blank B,486,,
