"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
A,1,Sample X1,46764004,46763438.0,46763438.0
A,2,Sample X6,5237598,5237032.0,5237032.0
A,3,Sample X11,2987517,2986951.0,2986951.0
A,4,Sample X16,8128457,8127891.0,8127891.0
A,5,Sample X21,10918847,10918281.0,10918281.0
A,6,Sample X26,4832534,4831968.0,4831968.0
A,7,Sample X31,2671087,2670521.0,2670521.0
A,8,Sample X36,3483987,3483421.0,3483421.0
A,9,Sample X41,3479548,3478982.0,3478982.0
B,1,Sample X2,51752,51186.0,51186.0
B,2,Sample X7,21591,21025.0,21025.0
B,3,Sample X12,11030,10464.0,10464.0
B,4,Sample X17,11725,11159.0,11159.0
B,5,Sample X22,71132,70566.0,70566.0
B,6,Sample X27,45034,44468.0,44468.0
B,7,Sample X32,26116,25550.0,25550.0
B,8,Sample X37,44271,43705.0,43705.0
B,9,Sample X42,40662,40096.0,40096.0
C,1,Sample X3,2847965,2847399.0,2847399.0
C,2,Sample X8,1054803,1054237.0,1054237.0
C,3,Sample X13,1327459,1326893.0,1326893.0
C,4,Sample X18,58362,57796.0,57796.0
C,5,Sample X23,3210202,3209636.0,3209636.0
C,6,Sample X28,878560,877994.0,877994.0
C,7,Sample X33,347517,346951.0,346951.0
C,8,Sample X38,585688,585122.0,585122.0
C,9,Sample X43,44600,44034.0,44034.0
D,1,Sample X4,49315,48749.0,48749.0
D,2,Sample X9,28707,28141.0,28141.0
D,3,Sample X14,29122,28556.0,28556.0
D,4,Sample X19,16841,16275.0,16275.0
D,5,Sample X24,43742,43176.0,43176.0
D,6,Sample X29,14247,13681.0,13681.0
D,7,Sample X34,16452,15886.0,15886.0
D,8,Sample X39,16888,16322.0,16322.0
D,9,Sample X44,13927,13361.0,13361.0
E,1,Sample X5,228586,228020.0,228020.0
E,2,Sample X10,6766,6200.0,6200.0
E,3,Sample X15,18735,18169.0,18169.0
E,4,Sample X20,32610,32044.0,32044.0
E,5,Sample X25,3984,3418.0,3418.0
E,6,Sample X30,4688,4122.0,4122.0
E,7,Sample X35,2667,2101.0,2101.0
E,8,Sample X40,63091,62525.0,62525.0
E,9,Sample X45,11606,11040.0,11040.0
H,1,Blank B,550,,
H,2,Blank B,562,,
H,3,Blank B,586,,
