well_row,well_col,content,fluc_luminescence,nluc_luminescence,name,condition,nluc/fluc,date
A,1,Sample X1,394917.0,46763438.0,71 + 72,nitrate_free,118.41333242174937,24.11.19
A,2,Sample X6,125696.0,5237032.0,71 + 72,nitrate_free,41.66426934826884,24.11.19
A,3,Sample X11,64547.0,2986951.0,71 + 72,nitrate_free,46.2755976265357,24.11.19
A,4,Sample X16,95437.0,8127891.0,71 + 72,100mM nitrate_2hrs_morning,85.16498842168131,24.11.19
A,5,Sample X21,118307.0,10918281.0,71 + 72,100mM nitrate_2hrs_morning,92.28770064324173,24.11.19
A,6,Sample X26,71519.0,4831968.0,71 + 72,100mM nitrate_2hrs_morning,67.5620184845985,24.11.19
A,7,Sample X31,84739.0,2670521.0,71 + 72,100mM nitrate_overnight,31.514662670081073,24.11.19
A,8,Sample X36,114046.0,3483421.0,71 + 72,100mM nitrate_overnight,30.543999789558598,24.11.19
A,9,Sample X41,74478.0,3478982.0,71 + 72,100mM nitrate_overnight,46.71153897795322,24.11.19
B,1,Sample X2,188045.0,51186.0,25+72,nitrate_free,0.27220080299928207,24.11.19
B,2,Sample X7,54247.0,21025.0,25+72,nitrate_free,0.38757903662875365,24.11.19
B,3,Sample X12,10562.0,10464.0,25+72,nitrate_free,0.9907214542700247,24.11.19
B,4,Sample X17,1557.0,11159.0,25+72,100mM nitrate_2hrs_morning,7.166987797045601,24.11.19
B,5,Sample X22,199925.0,70566.0,25+72,100mM nitrate_2hrs_morning,0.352962360885332,24.11.19
B,6,Sample X27,52264.0,44468.0,25+72,100mM nitrate_2hrs_morning,0.8508342262360324,24.11.19
B,7,Sample X32,13767.0,25550.0,25+72,100mM nitrate_overnight,1.855887266652139,24.11.19
B,8,Sample X37,34475.0,43705.0,25+72,100mM nitrate_overnight,1.2677302393038434,24.11.19
B,9,Sample X42,24333.0,40096.0,25+72,100mM nitrate_overnight,1.647803394567049,24.11.19
C,1,Sample X3,68597.0,2847399.0,35+72,nitrate_free,41.509089318774876,24.11.19
C,2,Sample X8,22917.0,1054237.0,35+72,nitrate_free,46.00239996509141,24.11.19
C,3,Sample X13,44724.0,1326893.0,35+72,nitrate_free,29.66847777479653,24.11.19
C,4,Sample X18,812.0,57796.0,35+72,100mM nitrate_2hrs_morning,71.17733990147784,24.11.19
C,5,Sample X23,57708.0,3209636.0,35+72,100mM nitrate_2hrs_morning,55.618562417689056,24.11.19
C,6,Sample X28,27942.0,877994.0,35+72,100mM nitrate_2hrs_morning,31.422017035287382,24.11.19
C,7,Sample X33,12652.0,346951.0,35+72,100mM nitrate_overnight,27.422620929497313,24.11.19
C,8,Sample X38,19284.0,585122.0,35+72,100mM nitrate_overnight,30.342356357602156,24.11.19
C,9,Sample X43,974.0,44034.0,35+72,100mM nitrate_overnight,45.209445585215605,24.11.19
D,1,Sample X4,27937.0,48749.0,36+72,nitrate_free,1.744961878512367,24.11.19
D,2,Sample X9,6657.0,28141.0,36+72,nitrate_free,4.227279555355265,24.11.19
D,3,Sample X14,12646.0,28556.0,36+72,nitrate_free,2.258105329748537,24.11.19
D,5,Sample X24,46827.0,43176.0,36+72,100mM nitrate_2hrs_morning,0.9220321609327952,24.11.19
D,6,Sample X29,978.0,13681.0,36+72,100mM nitrate_2hrs_morning,13.98875255623722,24.11.19
D,7,Sample X34,1396.0,15886.0,36+72,100mM nitrate_overnight,11.379656160458453,24.11.19
D,8,Sample X39,549.0,16322.0,36+72,100mM nitrate_overnight,29.7304189435337,24.11.19
D,9,Sample X44,5742.0,13361.0,36+72,100mM nitrate_overnight,2.3268895855102754,24.11.19
E,1,Sample X5,192462.0,228020.0,92+72,nitrate_free,1.1847533539088235,24.11.19
E,2,Sample X10,10905.0,6200.0,92+72,nitrate_free,0.5685465382851903,24.11.19
E,3,Sample X15,32752.0,18169.0,92+72,nitrate_free,0.5547447484123107,24.11.19
E,4,Sample X20,69812.0,32044.0,92+72,100mM nitrate_2hrs_morning,0.45900418266200654,24.11.19
E,5,Sample X25,1483.0,3418.0,92+72,100mM nitrate_2hrs_morning,2.3047875927174646,24.11.19
E,6,Sample X30,6590.0,4122.0,92+72,100mM nitrate_2hrs_morning,0.6254931714719272,24.11.19
E,7,Sample X35,1274.0,2101.0,92+72,100mM nitrate_overnight,1.6491365777080063,24.11.19
E,8,Sample X40,28247.0,62525.0,92+72,100mM nitrate_overnight,2.2135093992282364,24.11.19
E,9,Sample X45,5558.0,11040.0,92+72,100mM nitrate_overnight,1.9863260165527168,24.11.19
