well_row,well_col,name,condition
A,1,71 + 72,"W5 then 10 mM Kcl, 2 hours morning"
B,1,25+72,"W5 then 10 mM Kcl, 2 hours morning"
C,1,35+72,"W5 then 10 mM Kcl, 2 hours morning"
D,1,36+72,"W5 then 10 mM Kcl, 2 hours morning"
E,1,92+72,"W5 then 10 mM Kcl, 2 hours morning"
F,1,92+29+72,"W5 then 10 mM Kcl, 2 hours morning"
G,1,0,
H,1,,
A,2,71 + 72,"W5 then 10 mM Kcl, 2 hours morning"
B,2,25+72,"W5 then 10 mM Kcl, 2 hours morning"
C,2,35+72,"W5 then 10 mM Kcl, 2 hours morning"
D,2,36+72,"W5 then 10 mM Kcl, 2 hours morning"
E,2,92+72,"W5 then 10 mM Kcl, 2 hours morning"
F,2,92+29+72,"W5 then 10 mM Kcl, 2 hours morning"
G,2,0,
H,2,,
A,3,71 + 72,"W5 then 10 mM Kcl, 2 hours morning"
B,3,25+72,"W5 then 10 mM Kcl, 2 hours morning"
C,3,35+72,"W5 then 10 mM Kcl, 2 hours morning"
D,3,36+72,"W5 then 10 mM Kcl, 2 hours morning"
E,3,92+72,"W5 then 10 mM Kcl, 2 hours morning"
F,3,92+29+72,"W5 then 10 mM Kcl, 2 hours morning"
G,3,0,
H,3,,
A,4,71 + 72,"W5 then 10 mM KNO3, 2 hours morning"
B,4,25+72,"W5 then 10 mM KNO3, 2 hours morning"
C,4,35+72,"W5 then 10 mM KNO3, 2 hours morning"
D,4,36+72,"W5 then 10 mM KNO3, 2 hours morning"
E,4,92+72,"W5 then 10 mM KNO3, 2 hours morning"
F,4,0,
G,4,72,"W5 then 10 mM KNO3, 2 hours morning"
H,4,36+72,"W5 then 10 mM KNO3, 2 hours morning"
A,5,71 + 72,"W5 then 10 mM KNO3, 2 hours morning"
B,5,25+72,"W5 then 10 mM KNO3, 2 hours morning"
C,5,35+72,"W5 then 10 mM KNO3, 2 hours morning"
D,5,36+72,"W5 then 10 mM KNO3, 2 hours morning"
E,5,92+72,"W5 then 10 mM KNO3, 2 hours morning"
F,5,0,
G,5,72,"W5 then 10 mM KNO3, 2 hours morning"
H,5,36+72,"W5 then 10 mM KNO3, 2 hours morning"
A,6,71 + 72,"W5 then 10 mM KNO3, 2 hours morning"
B,6,25+72,"W5 then 10 mM KNO3, 2 hours morning"
C,6,35+72,"W5 then 10 mM KNO3, 2 hours morning"
D,6,36+72,"W5 then 10 mM KNO3, 2 hours morning"
E,6,92+72,"W5 then 10 mM KNO3, 2 hours morning"
F,6,0,
G,6,72,"W5 then 10 mM KNO3, 2 hours morning"
H,6,36+72,"W5 then 10 mM KNO3, 2 hours morning"
A,7,71 + 72,"W5, 10 mM KNO3_overnight"
B,7,25+72,"W5, 10 mM KNO3_overnight"
C,7,35+72,"W5, 10 mM KNO3_overnight"
D,7,36+72,"W5, 10 mM KNO3_overnight"
E,7,92+72,"W5, 10 mM KNO3_overnight"
F,7,0,
G,7,71+72,replete K3G1
H,7,35+72,replete K3G1
A,8,71 + 72,"W5, 10 mM KNO3_overnight"
B,8,25+72,"W5, 10 mM KNO3_overnight"
C,8,35+72,"W5, 10 mM KNO3_overnight"
D,8,36+72,"W5, 10 mM KNO3_overnight"
E,8,92+72,"W5, 10 mM KNO3_overnight"
F,8,0,
G,8,71+72,replete K3G1
H,8,35+72,replete K3G1
A,9,71 + 72,"W5, 10 mM KNO3_overnight"
B,9,25+72,"W5, 10 mM KNO3_overnight"
C,9,35+72,"W5, 10 mM KNO3_overnight"
D,9,36+72,"W5, 10 mM KNO3_overnight"
E,9,92+72,"W5, 10 mM KNO3_overnight"
F,9,0,
G,9,71+72,replete K3G1
H,9,35+72,replete K3G1
A,10,71+72,N-free K3G1
B,10,25+72,N-free K3G1
C,10,35+72,N-free K3G1
D,10,36+72,N-free K3G1
E,10,92+72,N-free K3G1
F,10,0,
G,10,92+72,replete K3G1
H,10,25+72,replete K3G1
A,11,71+72,N-free K3G1
B,11,25+72,N-free K3G1
C,11,35+72,N-free K3G1
D,11,36+72,N-free K3G1
E,11,92+72,N-free K3G1
F,11,0,
G,11,92+72,replete K3G1
H,11,25+72,replete K3G1
A,12,71+72,N-free K3G1
B,12,25+72,N-free K3G1
C,12,35+72,N-free K3G1
D,12,36+72,N-free K3G1
E,12,92+72,N-free K3G1
F,12,0,
G,12,92+72,replete K3G1
H,12,25+72,replete K3G1
