"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
A,1,Sample X1,194480,194107.0,194107.0
A,2,Sample X7,180274,179901.0,179901.0
A,3,Sample X13,98553,98180.0,98180.0
A,4,Sample X19,641928,641555.0,641555.0
A,5,Sample X24,185142,184769.0,184769.0
A,6,Sample X29,62091,61718.0,61718.0
A,7,Sample X34,346362,345989.0,345989.0
A,8,Sample X39,387784,387411.0,387411.0
A,9,Sample X44,417982,417609.0,417609.0
A,10,Sample X49,286262,285889.0,285889.0
A,11,Sample X54,535478,535105.0,535105.0
A,12,Sample X59,44590,44217.0,44217.0
B,1,Sample X2,76183,75810.0,75810.0
B,2,Sample X8,39079,38706.0,38706.0
B,3,Sample X14,65305,64932.0,64932.0
B,4,Sample X20,129483,129110.0,129110.0
B,5,Sample X25,16175,15802.0,15802.0
B,6,Sample X30,138309,137936.0,137936.0
B,7,Sample X35,30433,30060.0,30060.0
B,8,Sample X40,170516,170143.0,170143.0
B,9,Sample X45,85938,85565.0,85565.0
B,10,Sample X50,92605,92232.0,92232.0
B,11,Sample X55,220804,220431.0,220431.0
B,12,Sample X60,93359,92986.0,92986.0
C,1,Sample X3,30365,29992.0,29992.0
C,2,Sample X9,33382,33009.0,33009.0
C,3,Sample X15,34815,34442.0,34442.0
C,4,Sample X21,88126,87753.0,87753.0
C,5,Sample X26,25930,25557.0,25557.0
C,6,Sample X31,79682,79309.0,79309.0
C,7,Sample X36,201018,200645.0,200645.0
C,8,Sample X41,170042,169669.0,169669.0
C,9,Sample X46,26461,26088.0,26088.0
C,10,Sample X51,26551,26178.0,26178.0
C,11,Sample X56,67919,67546.0,67546.0
C,12,Sample X61,57805,57432.0,57432.0
D,1,Sample X4,5125,4752.0,4752.0
D,2,Sample X10,24076,23703.0,23703.0
D,3,Sample X16,96362,95989.0,95989.0
D,4,Sample X22,37474,37101.0,37101.0
D,5,Sample X27,13117,12744.0,12744.0
D,6,Sample X32,35316,34943.0,34943.0
D,7,Sample X37,6456,6083.0,6083.0
D,8,Sample X42,30349,29976.0,29976.0
D,9,Sample X47,61420,61047.0,61047.0
D,10,Sample X52,76738,76365.0,76365.0
D,11,Sample X57,257145,256772.0,256772.0
D,12,Sample X62,46129,45756.0,45756.0
E,1,Sample X5,53991,53618.0,53618.0
E,2,Sample X11,15208,14835.0,14835.0
E,3,Sample X17,76393,76020.0,76020.0
E,4,Sample X23,81172,80799.0,80799.0
E,5,Sample X28,84698,84325.0,84325.0
E,6,Sample X33,115924,115551.0,115551.0
E,7,Sample X38,21280,20907.0,20907.0
E,8,Sample X43,52147,51774.0,51774.0
E,9,Sample X48,250607,250234.0,250234.0
E,10,Sample X53,97885,97512.0,97512.0
E,11,Sample X58,264827,264454.0,264454.0
E,12,Sample X63,36647,36274.0,36274.0
F,1,Sample X6,41302,40929.0,40929.0
F,2,Sample X12,523,150.0,150.0
F,3,Sample X18,2386,2013.0,2013.0
G,4,Sample X64,39807,39434.0,39434.0
G,5,Sample X66,24488,24115.0,24115.0
G,6,Sample X68,8303,7930.0,7930.0
G,7,Sample X70,157320,156947.0,156947.0
G,8,Sample X72,40114,39741.0,39741.0
G,9,Sample X74,450927,450554.0,450554.0
G,10,Sample X76,18642,18269.0,18269.0
G,11,Sample X78,7429,7056.0,7056.0
G,12,Sample X80,41051,40678.0,40678.0
H,1,Blank B,338,,
H,2,Blank B,378,,
H,3,Blank B,404,,
H,4,Sample X65,5535,5162.0,5162.0
H,5,Sample X67,14042,13669.0,13669.0
H,6,Sample X69,35158,34785.0,34785.0
H,7,Sample X71,72298,71925.0,71925.0
H,8,Sample X73,26705,26332.0,26332.0
H,9,Sample X75,13416,13043.0,13043.0
H,10,Sample X77,34605,34232.0,34232.0
H,11,Sample X79,4820,4447.0,4447.0
H,12,Sample X81,5708,5335.0,5335.0
