"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
A,1,Sample X1,42778386,42776456.0,42776456.0
A,2,Sample X7,19596763,19594833.0,19594833.0
A,3,Sample X13,20403846,20401916.0,20401916.0
A,4,Sample X19,70530753,70528823.0,70528823.0
A,5,Sample X24,29026480,29024550.0,29024550.0
A,6,Sample X29,14129658,14127728.0,14127728.0
A,7,Sample X34,47417691,47415761.0,47415761.0
A,8,Sample X39,46023537,46021607.0,46021607.0
A,9,Sample X44,41383850,41381920.0,41381920.0
A,10,Sample X49,47724077,47722147.0,47722147.0
A,11,Sample X54,27430579,27428649.0,27428649.0
A,12,Sample X59,4570508,4568578.0,4568578.0
B,1,Sample X2,176814,174884.0,174884.0
B,2,Sample X8,120405,118475.0,118475.0
B,3,Sample X14,107059,105129.0,105129.0
B,4,Sample X20,183374,181444.0,181444.0
B,5,Sample X25,81609,79679.0,79679.0
B,6,Sample X30,274942,273012.0,273012.0
B,7,Sample X35,117390,115460.0,115460.0
B,8,Sample X40,425734,423804.0,423804.0
B,9,Sample X45,244518,242588.0,242588.0
B,10,Sample X50,149497,147567.0,147567.0
B,11,Sample X55,291303,289373.0,289373.0
B,12,Sample X60,52371,50441.0,50441.0
C,1,Sample X3,4692155,4690225.0,4690225.0
C,2,Sample X9,2952233,2950303.0,2950303.0
C,3,Sample X15,2313411,2311481.0,2311481.0
C,4,Sample X21,4945672,4943742.0,4943742.0
C,5,Sample X26,2169322,2167392.0,2167392.0
C,6,Sample X31,6671872,6669942.0,6669942.0
C,7,Sample X36,6475661,6473731.0,6473731.0
C,8,Sample X41,5738847,5736917.0,5736917.0
C,9,Sample X46,3359118,3357188.0,3357188.0
C,10,Sample X51,2075806,2073876.0,2073876.0
C,11,Sample X56,4238808,4236878.0,4236878.0
C,12,Sample X61,4501615,4499685.0,4499685.0
D,1,Sample X4,17203,15273.0,15273.0
D,2,Sample X10,34855,32925.0,32925.0
D,3,Sample X16,66125,64195.0,64195.0
D,4,Sample X22,59763,57833.0,57833.0
D,5,Sample X27,21251,19321.0,19321.0
D,6,Sample X32,34094,32164.0,32164.0
D,7,Sample X37,25521,23591.0,23591.0
D,8,Sample X42,58724,56794.0,56794.0
D,9,Sample X47,72210,70280.0,70280.0
D,10,Sample X52,83860,81930.0,81930.0
D,11,Sample X57,145615,143685.0,143685.0
D,12,Sample X62,66688,64758.0,64758.0
E,1,Sample X5,96033,94103.0,94103.0
E,2,Sample X11,40905,38975.0,38975.0
E,3,Sample X17,82532,80602.0,80602.0
E,4,Sample X23,164016,162086.0,162086.0
E,5,Sample X28,70818,68888.0,68888.0
E,6,Sample X33,307623,305693.0,305693.0
E,7,Sample X38,126968,125038.0,125038.0
E,8,Sample X43,119390,117460.0,117460.0
E,9,Sample X48,376499,374569.0,374569.0
E,10,Sample X53,309530,307600.0,307600.0
E,11,Sample X58,537575,535645.0,535645.0
E,12,Sample X63,30408,28478.0,28478.0
F,1,Sample X6,384233,382303.0,382303.0
F,2,Sample X12,21086,19156.0,19156.0
F,3,Sample X18,19912,17982.0,17982.0
G,4,Sample X64,2620,690.0,690.0
G,5,Sample X66,4029,2099.0,2099.0
G,6,Sample X68,14320,12390.0,12390.0
G,7,Sample X70,17786857,17784927.0,17784927.0
G,8,Sample X72,6277856,6275926.0,6275926.0
G,9,Sample X74,49617846,49615916.0,49615916.0
G,10,Sample X76,47348,45418.0,45418.0
G,11,Sample X78,16622,14692.0,14692.0
G,12,Sample X80,15101,13171.0,13171.0
H,1,Blank B,1042,,
H,2,Blank B,1270,,
H,3,Blank B,3477,,
H,4,Sample X65,17875,15945.0,15945.0
H,5,Sample X67,7930,6000.0,6000.0
H,6,Sample X69,59332,57402.0,57402.0
H,7,Sample X71,2955418,2953488.0,2953488.0
H,8,Sample X73,1802600,1800670.0,1800670.0
H,9,Sample X75,816746,814816.0,814816.0
H,10,Sample X77,55091,53161.0,53161.0
H,11,Sample X79,6966,5036.0,5036.0
H,12,Sample X81,5073,3143.0,3143.0
