"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
G,4,Blank B,188,,
G,5,Blank B,203,,
G,6,Blank B,190,,
A,1,Sample X1,15476,15282.0,15282.0
B,1,Sample X2,6675,6481.0,6481.0
C,1,Sample X3,46091,45897.0,45897.0
D,1,Sample X4,10971,10777.0,10777.0
E,1,Sample X5,2011,1817.0,1817.0
F,1,Sample X6,16431,16237.0,16237.0
G,1,Sample X7,5884,5690.0,5690.0
H,1,Sample X8,1270,1076.0,1076.0
A,2,Sample X9,11012,10818.0,10818.0
B,2,Sample X10,31297,31103.0,31103.0
C,2,Sample X11,66446,66252.0,66252.0
D,2,Sample X12,18230,18036.0,18036.0
E,2,Sample X13,9667,9473.0,9473.0
F,2,Sample X14,15458,15264.0,15264.0
G,2,Sample X15,19826,19632.0,19632.0
H,2,Sample X16,519,325.0,325.0
A,3,Sample X17,5714,5520.0,5520.0
B,3,Sample X18,11307,11113.0,11113.0
C,3,Sample X19,9390,9196.0,9196.0
D,3,Sample X20,1376,1182.0,1182.0
E,3,Sample X21,3171,2977.0,2977.0
F,3,Sample X22,3437,3243.0,3243.0
G,3,Sample X23,7571,7377.0,7377.0
H,3,Sample X24,1935,1741.0,1741.0
A,4,Sample X25,699,505.0,505.0
B,4,Sample X26,9579,9385.0,9385.0
C,4,Sample X27,925,731.0,731.0
D,4,Sample X28,1672,1478.0,1478.0
E,4,Sample X29,4311,4117.0,4117.0
F,4,Sample X30,5033,4839.0,4839.0
A,5,Sample X31,340,146.0,146.0
B,5,Sample X32,9740,9546.0,9546.0
C,5,Sample X33,4826,4632.0,4632.0
D,5,Sample X34,17958,17764.0,17764.0
E,5,Sample X35,14127,13933.0,13933.0
F,5,Sample X36,7719,7525.0,7525.0
A,6,Sample X37,413,219.0,219.0
B,6,Sample X38,206,12.0,12.0
C,6,Sample X39,22222,22028.0,22028.0
D,6,Sample X40,22135,21941.0,21941.0
E,6,Sample X41,10861,10667.0,10667.0
F,6,Sample X42,2124,1930.0,1930.0
A,7,Sample X43,8855,8661.0,8661.0
B,7,Sample X44,24101,23907.0,23907.0
C,7,Sample X45,19105,18911.0,18911.0
D,7,Sample X46,26059,25865.0,25865.0
E,7,Sample X47,37139,36945.0,36945.0
F,7,Sample X48,46298,46104.0,46104.0
G,7,Sample X49,15406,15212.0,15212.0
H,7,Sample X50,22991,22797.0,22797.0
A,8,Sample X51,15055,14861.0,14861.0
B,8,Sample X52,3476,3282.0,3282.0
C,8,Sample X53,58369,58175.0,58175.0
D,8,Sample X54,66633,66439.0,66439.0
E,8,Sample X55,31122,30928.0,30928.0
F,8,Sample X56,28115,27921.0,27921.0
G,8,Sample X57,11912,11718.0,11718.0
H,8,Sample X58,42316,42122.0,42122.0
A,9,Sample X59,5852,5658.0,5658.0
B,9,Sample X60,30203,30009.0,30009.0
C,9,Sample X61,33608,33414.0,33414.0
D,9,Sample X62,46690,46496.0,46496.0
E,9,Sample X63,9789,9595.0,9595.0
F,9,Sample X64,26057,25863.0,25863.0
G,9,Sample X65,7033,6839.0,6839.0
H,9,Sample X66,3515,3321.0,3321.0
A,10,Sample X67,48519,48325.0,48325.0
B,10,Sample X68,50953,50759.0,50759.0
C,10,Sample X69,54876,54682.0,54682.0
D,10,Sample X70,16939,16745.0,16745.0
A,11,Sample X71,18962,18768.0,18768.0
B,11,Sample X72,51780,51586.0,51586.0
C,11,Sample X73,25465,25271.0,25271.0
D,11,Sample X74,7807,7613.0,7613.0
A,12,Sample X75,39514,39320.0,39320.0
B,12,Sample X76,4546,4352.0,4352.0
C,12,Sample X77,25715,25521.0,25521.0
D,12,Sample X78,2072,1878.0,1878.0
