"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
G,4,Blank B,220,,
G,5,Blank B,298,,
G,6,Blank B,841,,
A,1,Sample X1,243,-210.0,-210.0
B,1,Sample X2,31686,31233.0,31233.0
C,1,Sample X3,102009,101556.0,101556.0
D,1,Sample X4,14441,13988.0,13988.0
E,1,Sample X5,3316,2863.0,2863.0
F,1,Sample X6,13482,13029.0,13029.0
G,1,Sample X7,7680,7227.0,7227.0
H,1,Sample X8,1435,982.0,982.0
A,2,Sample X9,270,-183.0,-183.0
B,2,Sample X10,224242,223789.0,223789.0
C,2,Sample X11,118750,118297.0,118297.0
D,2,Sample X12,23113,22660.0,22660.0
E,2,Sample X13,4759,4306.0,4306.0
F,2,Sample X14,11160,10707.0,10707.0
G,2,Sample X15,22517,22064.0,22064.0
H,2,Sample X16,1108,655.0,655.0
A,3,Sample X17,193,-260.0,-260.0
B,3,Sample X18,73774,73321.0,73321.0
C,3,Sample X19,19504,19051.0,19051.0
D,3,Sample X20,4569,4116.0,4116.0
E,3,Sample X21,3099,2646.0,2646.0
F,3,Sample X22,3973,3520.0,3520.0
G,3,Sample X23,9715,9262.0,9262.0
H,3,Sample X24,2969,2516.0,2516.0
A,4,Sample X25,429,-24.0,-24.0
B,4,Sample X26,6363,5910.0,5910.0
C,4,Sample X27,1892,1439.0,1439.0
D,4,Sample X28,5064,4611.0,4611.0
E,4,Sample X29,902996,902543.0,902543.0
F,4,Sample X30,5572,5119.0,5119.0
A,5,Sample X31,515,62.0,62.0
B,5,Sample X32,8914,8461.0,8461.0
C,5,Sample X33,12962,12509.0,12509.0
D,5,Sample X34,66606,66153.0,66153.0
E,5,Sample X35,4172547,4172094.0,4172094.0
F,5,Sample X36,3917,3464.0,3464.0
A,6,Sample X37,285,-168.0,-168.0
B,6,Sample X38,1381,928.0,928.0
C,6,Sample X39,45678,45225.0,45225.0
D,6,Sample X40,84819,84366.0,84366.0
E,6,Sample X41,2536217,2535764.0,2535764.0
F,6,Sample X42,2899,2446.0,2446.0
A,7,Sample X43,324469,324016.0,324016.0
B,7,Sample X44,943300,942847.0,942847.0
C,7,Sample X45,98732,98279.0,98279.0
D,7,Sample X46,331307,330854.0,330854.0
E,7,Sample X47,71025,70572.0,70572.0
F,7,Sample X48,161567,161114.0,161114.0
G,7,Sample X49,16994,16541.0,16541.0
H,7,Sample X50,31547,31094.0,31094.0
A,8,Sample X51,558182,557729.0,557729.0
B,8,Sample X52,92059,91606.0,91606.0
C,8,Sample X53,330618,330165.0,330165.0
D,8,Sample X54,568668,568215.0,568215.0
E,8,Sample X55,104888,104435.0,104435.0
F,8,Sample X56,70741,70288.0,70288.0
G,8,Sample X57,12412,11959.0,11959.0
H,8,Sample X58,33067,32614.0,32614.0
A,9,Sample X59,226027,225574.0,225574.0
B,9,Sample X60,1714561,1714108.0,1714108.0
C,9,Sample X61,220725,220272.0,220272.0
D,9,Sample X62,513558,513105.0,513105.0
E,9,Sample X63,25716,25263.0,25263.0
F,9,Sample X64,103844,103391.0,103391.0
G,9,Sample X65,4175,3722.0,3722.0
H,9,Sample X66,2915,2462.0,2462.0
A,10,Sample X67,101338,100885.0,100885.0
B,10,Sample X68,181201,180748.0,180748.0
C,10,Sample X69,150663,150210.0,150210.0
D,10,Sample X70,60827,60374.0,60374.0
A,11,Sample X71,34929,34476.0,34476.0
B,11,Sample X72,206451,205998.0,205998.0
C,11,Sample X73,94084,93631.0,93631.0
D,11,Sample X74,20295,19842.0,19842.0
A,12,Sample X75,87616,87163.0,87163.0
B,12,Sample X76,20424,19971.0,19971.0
C,12,Sample X77,74146,73693.0,73693.0
D,12,Sample X78,7707,7254.0,7254.0
