"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
C,4,Blank B,208,,
C,5,Blank B,182,,
C,6,Blank B,219,,
A,1,Sample X1,127859,127656.0,127656.0
B,1,Sample X2,241798,241595.0,241595.0
C,1,Sample X3,270269,270066.0,270066.0
D,1,Sample X4,162931,162728.0,162728.0
E,1,Sample X5,471681,471478.0,471478.0
F,1,Sample X6,161357,161154.0,161154.0
G,1,Sample X7,138077,137874.0,137874.0
A,2,Sample X8,48454,48251.0,48251.0
B,2,Sample X9,228196,227993.0,227993.0
C,2,Sample X10,192134,191931.0,191931.0
D,2,Sample X11,71754,71551.0,71551.0
E,2,Sample X12,124197,123994.0,123994.0
F,2,Sample X13,141835,141632.0,141632.0
G,2,Sample X14,48533,48330.0,48330.0
A,3,Sample X15,11807,11604.0,11604.0
B,3,Sample X16,247450,247247.0,247247.0
C,3,Sample X17,267989,267786.0,267786.0
D,3,Sample X18,133903,133700.0,133700.0
E,3,Sample X19,107081,106878.0,106878.0
F,3,Sample X20,183150,182947.0,182947.0
G,3,Sample X21,149561,149358.0,149358.0
A,4,Sample X22,44557,44354.0,44354.0
B,4,Sample X23,13878,13675.0,13675.0
A,5,Sample X24,33616,33413.0,33413.0
B,5,Sample X25,75308,75105.0,75105.0
A,6,Sample X26,16566,16363.0,16363.0
B,6,Sample X27,15656,15453.0,15453.0
