"Well
Row","Well
Col",Content,Raw Data (No filter),Blank corrected based on Raw Data (No filter),Average over replicates based on Blank corrected (No filter)
C,4,Blank B,242,,
C,5,Blank B,186,,
C,6,Blank B,203,,
A,1,Sample X1,194,-16.0,-16.0
B,1,Sample X2,11135,10925.0,10925.0
C,1,Sample X3,48281,48071.0,48071.0
D,1,Sample X4,17161,16951.0,16951.0
E,1,Sample X5,36450,36240.0,36240.0
F,1,Sample X6,920442,920232.0,920232.0
G,1,Sample X7,71423,71213.0,71213.0
A,2,Sample X8,195,-15.0,-15.0
B,2,Sample X9,22934,22724.0,22724.0
C,2,Sample X10,50742,50532.0,50532.0
D,2,Sample X11,5018,4808.0,4808.0
E,2,Sample X12,12471,12261.0,12261.0
F,2,Sample X13,1262367,1262157.0,1262157.0
G,2,Sample X14,12921,12711.0,12711.0
A,3,Sample X15,286,76.0,76.0
B,3,Sample X16,9568,9358.0,9358.0
C,3,Sample X17,53668,53458.0,53458.0
D,3,Sample X18,14073,13863.0,13863.0
E,3,Sample X19,7614,7404.0,7404.0
F,3,Sample X20,1328654,1328444.0,1328444.0
G,3,Sample X21,84387,84177.0,84177.0
A,4,Sample X22,548270,548060.0,548060.0
B,4,Sample X23,1984,1774.0,1774.0
A,5,Sample X24,487416,487206.0,487206.0
B,5,Sample X25,22959,22749.0,22749.0
A,6,Sample X26,271172,270962.0,270962.0
B,6,Sample X27,6893,6683.0,6683.0
