R,G,B
0,61,48
90,10,51
0,87,69
129,13,73
0,115,92
171,13,97
0,145,117
216,13,123
0,175,142
255,46,149
0,203,167
255,120,173
0,235,193
255,172,198
134,255,222
255,215,225
0,48,111
70,11,112
0,72,158
107,6,159
0,95,204
142,6,205
0,121,250
180,10,252
0,159,250
237,13,253
0,194,249
255,102,253
0,229,248
255,163,252
124,255,250
255,213,253
0,64,2
95,9,20
0,90,1
134,8,28
0,119,2
178,7,37
0,149,3
222,13,46
0,180,8
255,66,53
0,211,2
255,135,53
0,244,7
255,185,53
175,255,42
255,226,57
