# amplicon position	effect
1	1.000000000000000000e+02
2	1.000000000000000000e+02
3	1.000000000000000000e+02
4	1.000000000000000000e+02
5	1.000000000000000000e+02
6	1.000000000000000000e+02
7	1.000000000000000000e+02
8	1.000000000000000000e+02
9	1.000000000000000000e+02
10	1.000000000000000000e+02
11	1.000000000000000000e+02
12	1.000000000000000000e+02
13	1.000000000000000000e+02
14	1.000000000000000000e+02
15	1.000000000000000000e+02
16	1.000000000000000000e+02
17	1.000000000000000000e+02
18	1.000000000000000000e+02
19	1.000000000000000000e+02
20	1.000000000000000000e+02
21	1.000000000000000000e+02
22	1.000000000000000000e+02
23	1.000000000000000000e+02
24	1.000000000000000000e+02
25	1.000000000000000000e+02
26	1.000000000000000000e+02
27	1.000000000000000000e+02
28	1.000000000000000000e+02
29	1.000000000000000000e+02
30	1.000000000000000000e+02
31	1.000000000000000000e+02
32	1.000000000000000000e+02
33	1.000000000000000000e+02
34	1.000000000000000000e+02
35	1.000000000000000000e+02
36	1.000000000000000000e+02
37	1.000000000000000000e+02
38	1.000000000000000000e+02
39	1.000000000000000000e+02
40	1.000000000000000000e+02
41	1.000000000000000000e+02
42	1.000000000000000000e+02
43	1.000000000000000000e+02
44	1.000000000000000000e+02
45	1.000000000000000000e+02
46	1.000000000000000000e+02
47	1.000000000000000000e+02
48	1.000000000000000000e+02
49	1.000000000000000000e+02
50	1.000000000000000000e+02
51	1.000000000000000000e+02
52	1.000000000000000000e+02
53	1.000000000000000000e+02
54	1.000000000000000000e+02
55	1.000000000000000000e+02
56	1.000000000000000000e+02
57	1.000000000000000000e+02
58	1.000000000000000000e+02
59	1.000000000000000000e+02
60	1.000000000000000000e+02
61	1.000000000000000000e+02
62	1.000000000000000000e+02
63	1.000000000000000000e+02
64	1.000000000000000000e+02
65	1.000000000000000000e+02
66	1.000000000000000000e+02
67	1.000000000000000000e+02
68	1.000000000000000000e+02
69	1.000000000000000000e+02
70	1.000000000000000000e+02
71	1.000000000000000000e+02
72	1.000000000000000000e+02
73	1.000000000000000000e+02
74	1.000000000000000000e+02
75	9.863945578231292188e+01
76	9.863945578231292188e+01
77	9.863945578231292188e+01
78	9.863945578231292188e+01
79	9.863945578231292188e+01
80	9.863945578231292188e+01
81	1.000000000000000000e+02
82	1.000000000000000000e+02
83	1.000000000000000000e+02
84	1.000000000000000000e+02
85	1.000000000000000000e+02
86	1.000000000000000000e+02
87	1.000000000000000000e+02
88	1.000000000000000000e+02
89	1.000000000000000000e+02
90	1.000000000000000000e+02
91	1.000000000000000000e+02
92	1.000000000000000000e+02
93	1.000000000000000000e+02
94	1.000000000000000000e+02
95	1.000000000000000000e+02
96	1.000000000000000000e+02
97	1.000000000000000000e+02
98	1.000000000000000000e+02
99	1.000000000000000000e+02
100	1.000000000000000000e+02
101	1.000000000000000000e+02
102	1.000000000000000000e+02
103	1.000000000000000000e+02
104	1.000000000000000000e+02
105	1.000000000000000000e+02
106	1.000000000000000000e+02
107	1.000000000000000000e+02
108	1.000000000000000000e+02
109	1.000000000000000000e+02
110	1.000000000000000000e+02
111	1.000000000000000000e+02
112	1.000000000000000000e+02
113	1.000000000000000000e+02
114	1.000000000000000000e+02
115	1.000000000000000000e+02
116	1.000000000000000000e+02
117	1.000000000000000000e+02
118	1.000000000000000000e+02
119	1.000000000000000000e+02
120	2.040816326530612290e+00
121	1.360544217687074786e+00
122	2.040816326530612290e+00
123	1.360544217687074786e+00
124	1.360544217687074786e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	2.721088435374149572e+00
133	1.360544217687074786e+00
134	0.000000000000000000e+00
135	0.000000000000000000e+00
136	0.000000000000000000e+00
137	0.000000000000000000e+00
138	0.000000000000000000e+00
139	0.000000000000000000e+00
140	0.000000000000000000e+00
141	0.000000000000000000e+00
142	0.000000000000000000e+00
143	0.000000000000000000e+00
144	6.802721088435373931e-01
145	6.802721088435373931e-01
146	0.000000000000000000e+00
147	0.000000000000000000e+00
148	0.000000000000000000e+00
149	0.000000000000000000e+00
150	0.000000000000000000e+00
151	2.721088435374149572e+00
152	1.360544217687074786e+00
153	0.000000000000000000e+00
154	0.000000000000000000e+00
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	0.000000000000000000e+00
158	0.000000000000000000e+00
159	0.000000000000000000e+00
160	0.000000000000000000e+00
161	0.000000000000000000e+00
162	0.000000000000000000e+00
163	0.000000000000000000e+00
164	6.802721088435373931e-01
165	6.802721088435373931e-01
166	0.000000000000000000e+00
167	0.000000000000000000e+00
168	0.000000000000000000e+00
169	6.802721088435373931e-01
170	6.802721088435373931e-01
171	0.000000000000000000e+00
172	0.000000000000000000e+00
173	0.000000000000000000e+00
174	0.000000000000000000e+00
175	0.000000000000000000e+00
176	0.000000000000000000e+00
177	0.000000000000000000e+00
178	0.000000000000000000e+00
179	0.000000000000000000e+00
180	0.000000000000000000e+00
181	1.360544217687074786e+00
182	6.802721088435373931e-01
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
189	6.802721088435373931e-01
190	6.802721088435373931e-01
191	0.000000000000000000e+00
192	0.000000000000000000e+00
193	0.000000000000000000e+00
194	0.000000000000000000e+00
195	0.000000000000000000e+00
196	0.000000000000000000e+00
197	0.000000000000000000e+00
198	0.000000000000000000e+00
199	0.000000000000000000e+00
200	6.802721088435373931e-01
201	6.802721088435373931e-01
202	0.000000000000000000e+00
203	0.000000000000000000e+00
204	0.000000000000000000e+00
205	0.000000000000000000e+00
206	0.000000000000000000e+00
207	6.802721088435373931e-01
208	0.000000000000000000e+00
209	0.000000000000000000e+00
210	6.802721088435373931e-01
211	6.802721088435373931e-01
